,objectid,fod_id,fpa_id,fire_year,discovery_date,discovery_doy,stat_cause_code,stat_cause_descr,fire_size,fire_size_class,latitude,longitude,state,Month,Temp,WindSpd,WindGust,Humidity,Precipitation
1748918,1748919,300090000.0,SFO-2014SCSCS14FF0254,2014,2014-01-20,20,5,Debris Burning,4.0,B,33.73502,-80.34320100000001,SC,0.0,BAD RESPONSE,0.0,0.0,0.0,0.0
1728747,1728748,300007000.0,FWS-2014USMSMSRH3DB,2014,2014-04-16,106,2,Equipment Use,1.0,B,30.433329999999998,-88.6725,MS,0.0,BAD RESPONSE,0.0,0.0,0.0,0.0
1761020,1761021,300104000.0,SFO-2014GAGAS-FY2015-Toombs-012,2014,2014-12-03,337,5,Debris Burning,0.36,B,32.15846111,-82.326325,GA,0.0,BAD RESPONSE,0.0,0.0,0.0,0.0
1770741,1770742,300116000.0,SFO-2014GAGAS-FY2015-Coffee-004,2014,2014-07-14,195,7,Arson,0.65,B,31.36433333,-82.68836944,GA,0.0,BAD RESPONSE,0.0,0.0,0.0,0.0
1767285,1767286,300111000.0,SFO-2014NENFS20129,2014,2014-10-10,283,6,Railroad,0.05,A,40.76982,-99.71721,NE,0.0,BAD RESPONSE,0.0,0.0,0.0,0.0
1779096,1779097,300133000.0,SFO-2014WADNR191,2014,2014-06-19,170,9,Miscellaneous,0.1,A,47.1747,-120.8556,WA,0.0,BAD RESPONSE,0.0,0.0,0.0,0.0
1767816,1767817,300112000.0,SFO-2014ALAFC50268,2014,2014-01-27,27,7,Arson,100.0,D,33.451807,-86.227153,AL,0.0,BAD RESPONSE,0.0,0.0,0.0,0.0
1777923,1777924,300131000.0,SFO-2014NY3617NY3617-2014-169,2014,2014-10-05,278,9,Miscellaneous,0.1,A,41.2276,-74.2875,NY,0.0,BAD RESPONSE,0.0,0.0,0.0,0.0
1771923,1771924,300117000.0,SFO-2014FLFLS2014160583,2014,2014-12-30,364,7,Arson,0.1,A,27.2447,-81.4015,FL,0.0,BAD RESPONSE,0.0,0.0,0.0,0.0
1751514,1751515,300093000.0,SFO-2014GAGAS-FY2014-Grady-014,2014,2014-03-02,61,5,Debris Burning,0.35,B,30.97040278,-84.12132222,GA,0.0,BAD RESPONSE,0.0,0.0,0.0,0.0
1753971,1753972,300096000.0,SFO-2014GAGAS-FY2014-Dooly-011,2014,2014-03-26,85,5,Debris Burning,11.28,C,32.25596389,-83.78925556,GA,0.0,BAD RESPONSE,0.0,0.0,0.0,0.0
